Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Date	Begin Hour	Begin Path	Begin File	File Offset (s)	Delta Time (s)	SNR NIST Quick (dB)	Tag	Notes	VF2
17	Spectrogram 1	4	113161.210000000	113162.910000000	9.300	296.300		31	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_071500Z.aif	71485MD03_002K_M12_multi_20151113_071500Z.aif	661.2100	1.7000	11.12	NARW		v
18	Spectrogram 1	3	113207.609000000	113209.024000000	69.600	234.800		31	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_071500Z.aif	71485MD03_002K_M12_multi_20151113_071500Z.aif	707.6090	1.4150	12.78	NARW	?	v
19	Spectrogram 1	3	113231.778000000	113233.419000000	91.300	213.000		31	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_071500Z.aif	71485MD03_002K_M12_multi_20151113_071500Z.aif	731.7780	1.6410	12.05	NARW	?	v
20	Spectrogram 1	3	113263.476000000	113265.230000000	100.000	252.200		31	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_071500Z.aif	71485MD03_002K_M12_multi_20151113_071500Z.aif	763.4760	1.7540	12.22	NARW	?	v
21	Spectrogram 1	6	113269.710000000	113270.893000000	55.600	259.300		31	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_071500Z.aif	71485MD03_002K_M12_multi_20151113_071500Z.aif	769.7100	1.1830	10.11	NARW		v
22	Spectrogram 1	3	113314.248000000	113316.116000000	60.900	243.500		31	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_071500Z.aif	71485MD03_002K_M12_multi_20151113_071500Z.aif	814.2480	1.8680	11.73	NARW	?	v
23	Spectrogram 1	3	113345.153000000	113346.794000000	78.300	269.600		31	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_071500Z.aif	71485MD03_002K_M12_multi_20151113_071500Z.aif	845.1530	1.6410	11.53	NARW		v
24	Spectrogram 1	3	113427.000000000	113428.755000000	69.600	256.500		31	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_073000Z.aif	71485MD03_002K_M12_multi_20151113_073000Z.aif	27.0000	1.7550	11.50	NARW		v
25	Spectrogram 1	3	113478.849000000	113480.774000000	69.600	230.400		31	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_073000Z.aif	71485MD03_002K_M12_multi_20151113_073000Z.aif	78.8490	1.9250	12.81	NARW		v
26	Spectrogram 1	3	113521.980000000	113523.791000000	82.600	256.500		31	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_073000Z.aif	71485MD03_002K_M12_multi_20151113_073000Z.aif	121.9800	1.8110	10.02	NARW		v
27	Spectrogram 1	3	113567.375000000	113569.187000000	69.600	260.900		31	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_073000Z.aif	71485MD03_002K_M12_multi_20151113_073000Z.aif	167.3750	1.8120	13.01	NARW		v
28	Spectrogram 1	3	113636.997000000	113638.469000000	104.300	226.100		31	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_073000Z.aif	71485MD03_002K_M12_multi_20151113_073000Z.aif	236.9970	1.4720	12.97	NARW		v
29	Spectrogram 1	3	113675.034000000	113677.694000000	47.800	252.200		31	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_073000Z.aif	71485MD03_002K_M12_multi_20151113_073000Z.aif	275.0340	2.6600	11.39	NARW	?	v
30	Spectrogram 1	3	113805.786000000	113808.051000000	65.200	239.100		31	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_073000Z.aif	71485MD03_002K_M12_multi_20151113_073000Z.aif	405.7860	2.2650	11.59	NARW		v
31	Spectrogram 1	3	114782.451000000	114784.545000000	47.800	234.800		31	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_074500Z.aif	71485MD03_002K_M12_multi_20151113_074500Z.aif	482.4510	2.0940	11.53	NARW		v
32	Spectrogram 1	3	115198.425000000	115200.179000000	43.500	247.800		31	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_074500Z.aif	71485MD03_002K_M12_multi_20151113_074500Z.aif	898.4250	1.7540	12.98	NARW		v
33	Spectrogram 1	3	115415.043000000	115417.308000000	73.900	200.000		32	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_080000Z.aif	71485MD03_002K_M12_multi_20151113_080000Z.aif	215.0430	2.2650	11.33	NARW		v
34	Spectrogram 1	3	115789.406000000	115791.387000000	56.500	182.600		32	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_080000Z.aif	71485MD03_002K_M12_multi_20151113_080000Z.aif	589.4060	1.9810	12.13	NARW		v
35	Spectrogram 1	3	116097.947000000	116100.778000000	56.500	230.400		32	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_080000Z.aif	71485MD03_002K_M12_multi_20151113_080000Z.aif	897.9470	2.8310	11.64	NARW		v
36	Spectrogram 1	9	174927.850000000	174929.610000000	88.700	270.200		48	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_003000Z.aif	71485MD03_002K_M12_multi_20160128_003000Z.aif	327.8500	1.7600	15.04	NARW	?	v
37	Spectrogram 1	2	177708.490000000	177711.260000000	88.700	338.700		49	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_011500Z.aif	71485MD03_002K_M12_multi_20160128_011500Z.aif	408.4900	2.7700	19.83	NARW		v
38	Spectrogram 1	2	177725.070000000	177728.640000000	44.400	241.900		49	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_011500Z.aif	71485MD03_002K_M12_multi_20160128_011500Z.aif	425.0700	3.5700	22.48	NARW		v
39	Spectrogram 1	9	193915.170000000	193917.040000000	64.500	225.800		53	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_054500Z.aif	71485MD03_002K_M12_multi_20160128_054500Z.aif	415.1700	1.8700	13.81	NARW	?	v
40	Spectrogram 1	8	198803.220000000	198805.090000000	56.500	298.400		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_070000Z.aif	71485MD03_002K_M12_multi_20160128_070000Z.aif	803.2200	1.8700	16.23	NARW		v
41	Spectrogram 1	11	198804.750000000	198807.520000000	62.500	333.300		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_070000Z.aif	71485MD03_002K_M12_multi_20160128_070000Z.aif	804.7500	2.7700	15.32	NARW		v
42	Spectrogram 1	7	198805.140000000	198807.010000000	58.300	287.500		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_070000Z.aif	71485MD03_002K_M12_multi_20160128_070000Z.aif	805.1400	1.8700	15.42	NARW		v
43	Spectrogram 1	9	198806.270000000	198808.710000000	54.200	329.200		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_070000Z.aif	71485MD03_002K_M12_multi_20160128_070000Z.aif	806.2700	2.4400	12.82	NARW		v
44	Spectrogram 1	4	198808.200000000	198810.070000000	75.000	270.800		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_070000Z.aif	71485MD03_002K_M12_multi_20160128_070000Z.aif	808.2000	1.8700	14.73	NARW		v
45	Spectrogram 1	8	198989.160000000	198991.310000000	45.800	270.800		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_071500Z.aif	71485MD03_002K_M12_multi_20160128_071500Z.aif	89.1600	2.1500	15.55	NARW		v
46	Spectrogram 1	11	198990.800000000	198993.230000000	37.500	270.800		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_071500Z.aif	71485MD03_002K_M12_multi_20160128_071500Z.aif	90.8000	2.4300	15.99	NARW		v
47	Spectrogram 1	8	199784.310000000	199786.850000000	62.500	304.200		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_071500Z.aif	71485MD03_002K_M12_multi_20160128_071500Z.aif	884.3100	2.5400	14.76	NARW	?	v
48	Spectrogram 1	11	199786.120000000	199788.210000000	70.800	237.500		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_071500Z.aif	71485MD03_002K_M12_multi_20160128_071500Z.aif	886.1200	2.0900	16.75	NARW	?	v
49	Spectrogram 1	7	199786.230000000	199788.490000000	75.000	237.500		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_071500Z.aif	71485MD03_002K_M12_multi_20160128_071500Z.aif	886.2300	2.2600	14.82	NARW	?	v
50	Spectrogram 1	9	199787.470000000	199789.910000000	79.200	262.500		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_071500Z.aif	71485MD03_002K_M12_multi_20160128_071500Z.aif	887.4700	2.4400	12.72	NARW	?	v
51	Spectrogram 1	9	199839.150000000	199841.870000000	33.300	245.800		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_073000Z.aif	71485MD03_002K_M12_multi_20160128_073000Z.aif	39.1500	2.7200	14.15	NARW	?	v
52	Spectrogram 1	2	199886.640000000	199888.960000000	95.800	266.700		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_073000Z.aif	71485MD03_002K_M12_multi_20160128_073000Z.aif	86.6400	2.3200	13.17	NARW		v
53	Spectrogram 1	9	199890.890000000	199892.930000000	125.000	304.200		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_073000Z.aif	71485MD03_002K_M12_multi_20160128_073000Z.aif	90.8900	2.0400	11.94	NARW		v
54	Spectrogram 1	7	199893.890000000	199896.660000000	100.000	270.800		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_073000Z.aif	71485MD03_002K_M12_multi_20160128_073000Z.aif	93.8900	2.7700	13.35	NARW		v
55	Spectrogram 1	8	199896.440000000	199899.040000000	95.800	262.500		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_073000Z.aif	71485MD03_002K_M12_multi_20160128_073000Z.aif	96.4400	2.6000	13.10	NARW		v
56	Spectrogram 1	9	199903.510000000	199906.340000000	33.300	195.800		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_073000Z.aif	71485MD03_002K_M12_multi_20160128_073000Z.aif	103.5100	2.8300	13.61	NARW		v
57	Spectrogram 1	8	199927.790000000	199930.170000000	77.500	232.600		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_073000Z.aif	71485MD03_002K_M12_multi_20160128_073000Z.aif	127.7900	2.3800	12.85	NARW		v
58	Spectrogram 1	9	199928.130000000	199930.400000000	100.800	232.600		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_073000Z.aif	71485MD03_002K_M12_multi_20160128_073000Z.aif	128.1300	2.2700	12.22	NARW		v
59	Spectrogram 1	2	199928.530000000	199930.850000000	73.600	248.100		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_073000Z.aif	71485MD03_002K_M12_multi_20160128_073000Z.aif	128.5300	2.3200	13.21	NARW		v
60	Spectrogram 1	8	199931.530000000	199934.130000000	73.600	275.200		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_073000Z.aif	71485MD03_002K_M12_multi_20160128_073000Z.aif	131.5300	2.6000	12.31	NARW		v
61	Spectrogram 1	8	199954.570000000	199957.230000000	62.000	197.700		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_073000Z.aif	71485MD03_002K_M12_multi_20160128_073000Z.aif	154.5700	2.6600	14.89	NARW		v
62	Spectrogram 1	11	199956.550000000	199958.750000000	65.900	220.900		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_073000Z.aif	71485MD03_002K_M12_multi_20160128_073000Z.aif	156.5500	2.2000	14.73	NARW		v
63	Spectrogram 1	7	199956.940000000	199959.210000000	62.000	236.400		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_073000Z.aif	71485MD03_002K_M12_multi_20160128_073000Z.aif	156.9400	2.2700	15.52	NARW		v
64	Spectrogram 1	9	199958.250000000	199960.230000000	77.500	209.300		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_073000Z.aif	71485MD03_002K_M12_multi_20160128_073000Z.aif	158.2500	1.9800	12.57	NARW		v
65	Spectrogram 1	9	199975.280000000	199977.770000000	46.500	193.800		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_073000Z.aif	71485MD03_002K_M12_multi_20160128_073000Z.aif	175.2800	2.4900	15.01	NARW		v
66	Spectrogram 1	2	199975.790000000	199978.110000000	50.400	197.700		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_073000Z.aif	71485MD03_002K_M12_multi_20160128_073000Z.aif	175.7900	2.3200	13.62	NARW		v
67	Spectrogram 1	9	200031.260000000	200033.360000000	50.400	240.300		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_073000Z.aif	71485MD03_002K_M12_multi_20160128_073000Z.aif	231.2600	2.1000	16.93	NARW		v
68	Spectrogram 1	2	200031.600000000	200033.700000000	58.100	209.300		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_073000Z.aif	71485MD03_002K_M12_multi_20160128_073000Z.aif	231.6000	2.1000	15.71	NARW		v
69	Spectrogram 1	8	200034.150000000	200037.600000000	15.500	220.900		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_073000Z.aif	71485MD03_002K_M12_multi_20160128_073000Z.aif	234.1500	3.4500	14.29	NARW		v
70	Spectrogram 1	1	200055.380000000	200057.530000000	34.900	232.600		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_073000Z.aif	71485MD03_002K_M12_multi_20160128_073000Z.aif	255.3800	2.1500	10.39	NARW		v
