Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Date	Begin Hour	Begin Path	Begin File	File Offset (s)	Delta Time (s)	SNR NIST Quick (dB)	Tag	Notes	VF2
11	Spectrogram 1	11	200248.580000000	200249.490000000	78.100	253.100		55	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD02_002K_11CH_AIFF/002K_11CH_20150902/71485MD02_002K_M11_multi_20150902_073000Z.aif	71485MD02_002K_M11_multi_20150902_073000Z.aif	448.5800	0.9100	19.22	NARW	?	v
12	Spectrogram 1	11	201797.360000000	201798.300000000	90.600	275.000		56	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD02_002K_11CH_AIFF/002K_11CH_20150902/71485MD02_002K_M11_multi_20150902_080000Z.aif	71485MD02_002K_M11_multi_20150902_080000Z.aif	197.3600	0.9400	17.03	NARW	?	v
13	Spectrogram 1	11	239679.880000000	239681.500000000	98.000	223.000		66	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD02_002K_11CH_AIFF/002K_11CH_20150902/71485MD02_002K_M11_multi_20150902_183000Z.aif	71485MD02_002K_M11_multi_20150902_183000Z.aif	279.8800	1.6200	13.02	NARW	added by KBH	v
14	Spectrogram 1	11	239728.010000000	239729.120000000	114.900	296.900		66	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD02_002K_11CH_AIFF/002K_11CH_20150902/71485MD02_002K_M11_multi_20150902_183000Z.aif	71485MD02_002K_M11_multi_20150902_183000Z.aif	328.0100	1.1100	15.59	NARW	?	v
15	Spectrogram 1	11	240391.100000000	240392.390000000	90.600	265.600		66	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD02_002K_11CH_AIFF/002K_11CH_20150902/71485MD02_002K_M11_multi_20150902_184500Z.aif	71485MD02_002K_M11_multi_20150902_184500Z.aif	91.1000	1.2900	11.94	NARW	?	v
16	Spectrogram 1	3	12422.497000000	12425.527000000	75.000	231.200		3	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD02_002K_11CH_AIFF/002K_11CH_20150626/71485MD02_002K_M11_multi_20150626_031500Z.aif	71485MD02_002K_M11_multi_20150626_031500Z.aif	722.4970	3.0300	10.75	NARW		v
17	Spectrogram 1	8	26923.640000000	26925.266000000	105.300	236.800		7	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD02_002K_11CH_AIFF/002K_11CH_20150626/71485MD02_002K_M11_multi_20150626_071500Z.aif	71485MD02_002K_M11_multi_20150626_071500Z.aif	823.6400	1.6260	12.59	NARW		v
18	Spectrogram 1	5	26923.751000000	26925.672000000	46.100	243.400		7	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD02_002K_11CH_AIFF/002K_11CH_20150626/71485MD02_002K_M11_multi_20150626_071500Z.aif	71485MD02_002K_M11_multi_20150626_071500Z.aif	823.7510	1.9210	12.01	NARW		v
19	Spectrogram 1	8	30970.751000000	30972.266000000	65.800	315.800		8	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD02_002K_11CH_AIFF/002K_11CH_20150626/71485MD02_002K_M11_multi_20150626_083000Z.aif	71485MD02_002K_M11_multi_20150626_083000Z.aif	370.7510	1.5150	12.36	NARW		v
20	Spectrogram 1	2	96267.465000000	96269.941000000	98.700	289.500		26	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD02_002K_11CH_AIFF/002K_11CH_20150724/71485MD02_002K_M11_multi_20150724_023000Z.aif	71485MD02_002K_M11_multi_20150724_023000Z.aif	867.4650	2.4760	16.05	NARW		v
21	Spectrogram 1	9	96272.675000000	96274.152000000	92.100	250.000		26	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD02_002K_11CH_AIFF/002K_11CH_20150724/71485MD02_002K_M11_multi_20150724_023000Z.aif	71485MD02_002K_M11_multi_20150724_023000Z.aif	872.6750	1.4770	14.55	NARW		v
22	Spectrogram 1	8	96277.219000000	96278.512000000	92.100	263.200		26	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD02_002K_11CH_AIFF/002K_11CH_20150724/71485MD02_002K_M11_multi_20150724_023000Z.aif	71485MD02_002K_M11_multi_20150724_023000Z.aif	877.2190	1.2930	10.94	NARW		v
23	Spectrogram 1	2	96365.675000000	96367.226000000	105.300	223.700		26	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD02_002K_11CH_AIFF/002K_11CH_20150724/71485MD02_002K_M11_multi_20150724_024500Z.aif	71485MD02_002K_M11_multi_20150724_024500Z.aif	65.6750	1.5510	14.99	NARW		v
24	Spectrogram 1	9	96370.108000000	96372.029000000	72.400	256.600		26	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD02_002K_11CH_AIFF/002K_11CH_20150724/71485MD02_002K_M11_multi_20150724_024500Z.aif	71485MD02_002K_M11_multi_20150724_024500Z.aif	70.1080	1.9210	13.36	NARW		v
25	Spectrogram 1	6	96374.135000000	96375.613000000	98.700	236.800		26	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD02_002K_11CH_AIFF/002K_11CH_20150724/71485MD02_002K_M11_multi_20150724_024500Z.aif	71485MD02_002K_M11_multi_20150724_024500Z.aif	74.1350	1.4780	12.53	NARW		v
26	Spectrogram 1	2	99651.621000000	99653.911000000	78.900	223.700		27	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD02_002K_11CH_AIFF/002K_11CH_20150724/71485MD02_002K_M11_multi_20150724_033000Z.aif	71485MD02_002K_M11_multi_20150724_033000Z.aif	651.6210	2.2900	15.56	NARW		v
27	Spectrogram 1	9	99657.162000000	99658.825000000	98.700	269.700		27	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD02_002K_11CH_AIFF/002K_11CH_20150724/71485MD02_002K_M11_multi_20150724_033000Z.aif	71485MD02_002K_M11_multi_20150724_033000Z.aif	657.1620	1.6630	11.47	NARW		v
28	Spectrogram 1	2	99674.527000000	99676.670000000	85.500	197.400		27	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD02_002K_11CH_AIFF/002K_11CH_20150724/71485MD02_002K_M11_multi_20150724_033000Z.aif	71485MD02_002K_M11_multi_20150724_033000Z.aif	674.5270	2.1430	18.25	NARW		v
29	Spectrogram 1	9	99679.404000000	99681.140000000	92.100	223.700		27	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD02_002K_11CH_AIFF/002K_11CH_20150724/71485MD02_002K_M11_multi_20150724_033000Z.aif	71485MD02_002K_M11_multi_20150724_033000Z.aif	679.4040	1.7360	13.42	NARW		v
30	Spectrogram 1	2	99730.226000000	99732.111000000	78.900	263.200		27	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD02_002K_11CH_AIFF/002K_11CH_20150724/71485MD02_002K_M11_multi_20150724_033000Z.aif	71485MD02_002K_M11_multi_20150724_033000Z.aif	730.2260	1.8850	17.15	NARW		v
31	Spectrogram 1	9	99735.177000000	99736.655000000	52.600	223.700		27	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD02_002K_11CH_AIFF/002K_11CH_20150724/71485MD02_002K_M11_multi_20150724_033000Z.aif	71485MD02_002K_M11_multi_20150724_033000Z.aif	735.1770	1.4780	14.68	NARW		v
32	Spectrogram 1	2	101636.014000000	101637.086000000	59.200	210.500		28	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD02_002K_11CH_AIFF/002K_11CH_20150724/71485MD02_002K_M11_multi_20150724_040000Z.aif	71485MD02_002K_M11_multi_20150724_040000Z.aif	836.0140	1.0720	19.00	NARW		v
33	Spectrogram 1	9	101640.596000000	101641.815000000	59.200	236.800		28	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD02_002K_11CH_AIFF/002K_11CH_20150724/71485MD02_002K_M11_multi_20150724_040000Z.aif	71485MD02_002K_M11_multi_20150724_040000Z.aif	840.5960	1.2190	13.21	NARW		v
